编号,车次,出发车站,到达车站,出发时刻,到达时刻,交路编号,
1,G7001,南京,上海,420,520,1,
2,G7004,上海,南京,480,579,1,
3,G7006,上海,南京,540,639,1,
4,G7007,南京,上海,600,700,1,
5,G7009,南京,上海,660,759,1,
6,G7012,上海,南京,720,819,1,
7,G7014,上海,南京,780,879,1,
8,G7015,南京,上海,840,940,1,
9,G7017,南京,上海,900,1000,1,
10,G7020,上海,南京,960,1059,1,
11,G7022,上海,南京,1020,1121,1,
12,G7023,南京,上海,1080,1179,1,
13,G7025,南京,上海,1140,1239,1,
14,G7028,上海,南京,1200,1299,1,
15,G7035,南京,上海,391,515,2,
16,G7038,上海,南京,545,668,2,
17,G7049,南京,上海,700,823,2,
18,G7276/7/6,上海,淮南东,852,1079,2,
19,G7275/8/5,淮南东,上海,1128,1318,2,
20,G7210,上海,苏州,1333,1367,2,
21,G7209,苏州,上海,447,486,2,
22,G7206,上海,苏州,505,546,2,
23,G7205,苏州,上海,564,603,2,
24,G7044,上海,南京,646,764,2,
25,G7055,南京,上海,834,951,2,
26,G7054,上海,南京,980,1100,2,
27,G7097,南京,上海,1120,1244,2,
28,G7098,上海,南京,1265,1378,2,
29,G7039,南京,上海,434,554,3,
30,G7040,上海,南京,594,712,3,
31,G7051,南京,上海,729,853,3,
32,G7050,上海,南京,870,990,3,
33,G7121,南京,上海虹桥,1015,1137,3,
34,G7124,上海虹桥,南京,1169,1288,3,
35,G7101,南京,上海虹桥,371,500,3,
36,G7104,上海虹桥,南京,534,650,3,
37,G7113,南京,上海虹桥,665,771,3,
38,G7112,上海虹桥,南京,793,916,3,
39,G7061,南京,上海,947,1070,3,
40,G7058,上海,南京,1093,1220,3,
41,G7069,南京,上海,1241,1360,3,
42,G7032,上海,南京,353,474,3,
43,G7045,南京,上海,569,696,3,
44,G7046,上海,南京,740,852,3,
45,G7057,南京,上海,867,988,3,
46,G7208,上海,苏州,1041,1075,3,
47,G7207,苏州,上海,1106,1147,3,
48,G7062,上海,南京,1172,1293,3,
49,G7105,南京,上海虹桥,518,644,4,
50,G7106,上海虹桥,南京,665,778,4,
51,G7115,南京,上海虹桥,810,932,4,
52,G7116,上海虹桥,南京,974,1095,4,
53,G7123,南京,上海虹桥,1114,1230,4,
54,G7128,上海虹桥,常州,1270,1341,4,
55,G7033,常州,上海,420,502,4,
56,G7084/5,上海,安庆,517,758,4,
57,G7142/39,安庆,上海虹桥,796,1038,4,
58,G7120,上海虹桥,南京,1089,1209,4,
59,G7107,南京,上海虹桥,550,678,5,
60,G7148/9,上海虹桥,芜湖,815,982,5,
61,G7288/5,芜湖,上海,1017,1207,5,
62,G7286/7,上海,芜湖,1235,1388,5,
63,G7274/1,芜湖,上海,402,573,5,
64,G7042,上海,南京,605,726,5,
65,G7053,南京,上海,790,915,5,
66,G7252/3,上海,合肥南,944,1077,5,
67,G7254/1,合肥南,上海,1103,1288,5,
68,G7096,上海,南京,1310,1410,5,
69,G7029,南京,上海,336,450,6,
70,G7268/9/8,上海,淮南东,485,717,6,
71,G7571/4/1,淮南东,温州南,736,1216,6,
72,G7572/3/2,温州南,淮南东,409,910,6,
73,G7267/70/67,淮南东,上海,930,1158,6,
74,G7066,上海,南京,1208,1329,6,
75,G7355,南京,衢州,455,720,7,
76,G7356,衢州,常州,736,939,7,
77,G7585,常州,温州南,966,1276,7,
78,G7586,温州南,常州,462,784,7,
79,G7583,常州,宁波,801,996,7,
80,G7584,宁波,南京,1013,1281,7,
81,D5502/3,南京,南通,420,573,8,
82,D5514/1,南通,南京,600,764,8,
83,D5522/3,南京,南通,800,952,8,
84,D5534/1,南通,南京,972,1121,8,
85,D5542/3,南京,南通,1196,1347,8,
86,D5504/1,南通,南京,384,527,8,
87,D5512/3,南京,南通,555,698,8,
88,D5524/1,南通,南京,714,862,8,
89,D5532/3,南京,南通,949,1110,8,
90,D5544/1,南通,南京,1168,1320,8,
91,D5562/3,南京,扬州,331,380,9,
92,D5564/1,扬州,南京,405,457,9,
93,D5506/7,南京,南通,480,635,9,
94,D5518/5,南通,南京,655,807,9,
95,D5526/7,南京,南通,842,1005,9,
96,D5538/5,南通,南京,1055,1210,9,
97,D5546/7,南京,南通,1230,1373,9,
98,D5508/5,南通,南京,480,643,9,
99,D5516/7,南京,南通,773,912,9,
100,D5528/5,南通,南京,936,1073,9,
101,D5536/7,南京,南通,1093,1241,9,
102,D5548/5,南通,南京,1261,1408,9,
103,D5550/1,南京,南通,1170,1289,10,
104,D5552/49,南通,南京,450,569,10,
105,D9522/3,南京,南通,600,774,11,
106,D9524/1,南通,南京,853,1014,11,
107,D9526/7,南京,南通,1037,1186,11,
108,D9528/5,南通,南京,1209,1357,11,
109,DJ7715,南京南,上海,301,388,12,
110,G7034,上海,南京,414,559,12,
111,G7047,南京,上海,609,727,12,
